Figura 6.2.3 Indicadores de mortalidade, Portugal (série longa);;;;;;;;;;;;;;;;;;;;;;;;;;Índice
;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;Óbitos (N.º);;;;;;;;;;;;;;Taxa bruta de mortalidade;;Taxa de mortalidade infantil;;Taxa de mortalidade neonatal;Taxa de mortalidade perinatal;;Taxa de mortalidade fetal tardia;;Esperança de vida à nascença (d);;
1993 ; 105 950;; 55 560;; 50 390;;  985;;  629;; 1 163;;  695;;10,6;;8,6;;5,5;10,1;;6,1;;74,29;;
1994 ; 99 232;; 52 103;; 47 129;;  865;;  516;; 1 008;;  638;;9,9;;7,9;;4,7;9,2;;5,8;;74,64;;
1995 ; 103 475;; 54 078;; 49 397;;  796;;  501;;  967;;  583;;10,3;;7,4;;4,7;9,0;;5,4;;75,04;;
1996 ; 106 881;; 56 169;; 50 712;;  747;;  456;;  880;;  532;;10,6;;6,8;;4,1;7,9;;4,8;;75,21;;
1997 ; 104 778;; 54 841;; 49 937;;  726;;  461;;  780;;  460;;10,4;;6,4;;4,1;6,9;;4,1;;75,07;;
1998 ; 106 198;; 55 647;; 50 551;;  679;;  420;;  768;;  453;;10,5;;6,0;;3,7;6,7;;4,0;;75,41;;
1999 ; 107 871;; 56 179;; 51 692;;  651;;  415;;  745;;  436;;10,6;;5,6;;3,6;6,4;;3,7;;75,65;;
2000 ; 105 364;; 55 023;; 50 341;;  662;;  410;;  746;;  444;;10,2;;5,5;;3,4;6,2;;3,7;;75,95;;
2001 ; 105 092;; 54 838;; 50 254;;  567;;  332;;  630;;  390;;10,1;;5,0;;2,9;5,6;;3,4;;76,57;;
2002 ; 106 258;; 55 377;; 50 881;;  574;;  391;;  685;;  388;;10,2;;5,0;;3,4;6,0;;3,4;;76,73;;
2003 ; 108 795;; 55 966;; 52 829;;  466;;  304;;  581;;  349;;10,4;;4,1;;2,7;5,1;;3,1;;76,98;;
2004 ; 102 012;; 53 202;; 48 810;;  420;;  282;;  483;;  294;;9,7;;3,8;;2,6;4,4;;2,7;;77,43;;
2005 ; 107 464;; 55 493;; 51 971;;  384;;  242;;  477;;  306;;10,2;;3,5;;2,2;4,3;;2,8;;77,72;;
2006 ; 101 990;; 53 471;; 48 519;;  349;;  224;;  488;;  324;;9,7;;3,3;;2,1;4,6;;3,1;;78,18;;
2007 ; 103 512;; 53 379;; 50 133;;  353;;  213;;  452;;  289;;9,8;;3,4;;2,1;4,4;;2.8;;78,50;;
2008 ; 104 280;; 53 582;; 50 698;;  340;;  216;;  418;;  265;;9,9;;3,3;;2,1;4,0;;2.5;;78,74;;
2009 ; 104 434;; 53 310;; 51 124;;  362;;  245;;  456;;  291;;9,9;;3,6;;2,5;4,6;;2.9;;78,94;;
2010 ; 105 954;; 54 219;; 51 734;;  256;;  169;;  357;;  241;;10,0;;2,5;;1,7;3,5;;2.4;;79,29;;
2011 ; 102 848;; 52 544;; 50 301;;  302;;  230;;  374;;  227;;9,7;;3,1;;2,4;3,9;;2.3;;79,55;;
2012 ; 107 612;; 54 473;; 53 139;;  303;;  198;;  382;;  249;;10,2;;3,4;;2,2;4,2;;2.8;;79,78;;
2013 ; 106 554;; 54 184;; 52 369;;  243;;  160;;  282;;  180;;10,2;;2,9;;1,9;3,4;;2.2;;80,03;;
2014 ; 104 843;; 53 233;; 51 610;;  236;;  174;;  339;;  214;;10,1;;2,9;;2,1;4,1;;2.6;;80,32;;
2015 ; 108 539;; 54 175;; 54 364;;  250;;  175;;  333;;  216;;10,5;;2,9;;2,0;3,9;;2.5;;80,47;;
2016 ; 110 573;; 55 626;; 54 947;;  282;;  202;;  343;;  214;;10,7;;3,2;;2,3;3,9;;2.5;;80,69;;
2017 ; 109 758;; 55 088;; 54 670;;  229;;  155;;  283;;  182;;10,6;;2,7;;1,8;3,3;;2,1;;80,85;;
2018 ; 113 051;; 56 728;; 56 322;;  287;;  191;;  370;;  228;;10,9;;3,3;;2,2;4,2;;2,6;;80,89;;
2019 ; 111 843;; 55 869;; 55 974;;  249;;  163;;  315;;  212;;10,8;;2,9;;1,9;3,6;;2,4;;81,05;;
2020 ; 123 396;; 61 395;; 62 001;;  206;;  142;;  290;;  192;;11,9;;2,4;;1,7;3,4;;2,3;;81,22;;
2021 ; 124 841;; 62 728;; 62 113;;  193;;  137;;  282;;  184;;12,0;;2,4;;1,7;3,5;;2,3;;80,97;;
2022 ; 124 361;Rv; 61 739;Rv; 62 621;Rv;  219;Rv;  133;Rv;  291;Rv;  204;Rv;11,9;;2,6;;1,6;3,5;Rv;2,4;Rv;80,96;;
2023 ; 118 295;; 59 261;; 59 034;;  210;;  136;;  259;;  173;;11,2;;2,5;;1,6;3,0;;2,0;;81,17;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;
(a) Até 1950, os valores de óbitos correspondem ao número total de óbitos registado em território nacional. A partir de 1960, correspondem a óbitos de residentes em Portugal.;;;;;;;;;;;;;;;;;;;;;;;;;;
(b) O valor total de óbitos pode não corresponder à soma dos óbitos por sexo devido à existência de registos com sexo ignorado.;;;;;;;;;;;;;;;;;;;;;;;;;;
(c) Até 1950, os valores de óbitos de menos de 1 ano correspondem ao número total de óbitos registado em território nacional. A partir de 1960, correspondem a óbitos de crianças de mães residentes em Portugal.;;;;;;;;;;;;;;;;;;;;;;;;;;
(d) Os valores da esperança de vida de 1982 a 2023 são derivados das Tábuas Completas de Mortalidade com período de referência de três anos consecutivos, correspondendo, respetivamente, aos períodos de 1980-1982 a 2021-2023.;;;;;;;;;;;;;;;;;;;;;;;;;;
