Figura 6.2.1 Indicadores de população residente, Portugal (série longa);;;;;;;;;;;Índice
;;;;;;;;;;;
Anos;;População residente (N.º) (a);;;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa de crescimento efetivo;Índice de envelhecimento (N.º);;;
2002 ;;10 444 592;5 037 340;5 407 252;0,08;0,40;0,48;104,0;84,1;124,9;
2003 ;;10 473 050;5 047 329;5 425 721;0,04;0,24;0,27;105,5;85,4;126,8;
2004 ;;10 494 672;5 053 722;5 440 950;0,07;0,14;0,21;107,6;87,1;129,3;
2005 ;;10 511 988;5 058 813;5 453 175;0,02;0,15;0,16;109,3;88,4;131,4;
2006 ;;10 532 588;5 064 395;5 468 193;0,03;0,16;0,20;111,5;90,1;134,1;
2007 ;;10 553 339;5 069 747;5 483 592;-0,01;0,21;0,20;113,8;91,9;136,8;
2008 ;;10 563 014;5 066 239;5 496 775;?;0,09;0,09;116,4;94,1;139,8;
2009 ;;10 573 479;5 063 745;5 509 734;-0,05;0,15;0,10;119,3;96,6;143,1;
2010 ;;10 572 721;5 053 543;5 519 178;-0,04;0,04;-0,01;123,9;100,1;148,8;
2011 ;;10 558 950;5 038 389;5 520 561;-0,06;-0,24;-0,29;128,0;103,6;153,5;
2012 ;;10 503 889;5 003 294;5 500 595;-0,17;-0,35;-0,52;131,4;106,3;157,8;
2013 ;;10 444 092;4 965 345;5 478 747;-0,23;-0,34;-0,57;136,4;110,4;163,7;
2014 ;;10 395 121;4 934 668;5 460 453;-0,22;-0,25;-0,47;141,9;115,0;170,1;
2015 ;;10 368 554;4 919 465;5 449 089;-0,22;-0,03;-0,26;147,6;120,1;176,4;
2016 ;;10 344 478;4 907 936;5 436 542;-0,23;-0,01;-0,23;152,5;124,6;181,8;
2017 ;;10 335 770;4 902 631;5 433 139;-0,23;0,14;-0,08;157,9;129,6;187,7;
2018 ;;10 333 496;4 898 614;5 434 882;-0,25;0,23;-0,02;163,2;134,5;193,2;
2019 ;;10 375 395;4 926 990;5 448 405;-0,24;0,65;0,40;169,4;140,8;199,3;
2020 ;;10 394 297;4 942 871;5 451 426;-0,37;0,56;0,18;175,6;146,9;205,5;
2021 ;;10 421 117;4 967 262;5 453 855;-0,43;0,69;0,26;181,3;152,2;211,8;
2022 ;Rv;10 516 621;5 020 648;5 495 973;-0,39;1,30;0,91;184,4;155,1;215,2;
2023 ;;10 639 726;5 083 568;5 556 158;-0,31;1,47;1,16;188,1;158,4;219,2;
;;;;;;;;;;;
Nota:;;;;;;;;;;;
"(a) 1900-1930 - recenseamentos gerais da população; 1940-2020 - Estimativas Definitivas da População Residente; 2021-2023 - Estimativas Provisórias da População Residente. 2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.";;;;;;;;;;;
;;;;;;;;;;;
