Figura 6.2.2 Indicadores de natalidade, Portugal (série longa);;;;;;;;;;Índice
;;;;;;;;;;
Anos;Nados-vivos (N.º) (a) (b);;;;;Taxa bruta de natalidade;Índice sintético de fecundidade;Idade média da mulher ao nascimento do primeiro filho;Idade média da mulher ao nascimento de um filho;
2002 ; 114 383; 59 303; 55 080; 29 117;;11,0;1,47;26,8;28,9;
2003 ; 112 515; 58 210; 54 305; 30 236;;10,8;1,44;27,1;29,0;
2004 ; 109 298; 56 212; 53 086; 31 766;;10,4;1,41;27,1;29,2;
2005 ; 109 399; 56 612; 52 787; 33 633;;10,4;1,42;27,3;29,3;
2006 ; 105 449; 54 057; 51 392; 33 331;;10,0;1,38;27,5;29,4;
2007 ; 102 492; 52 683; 49 809; 34 443;;9,7;1,35;27,6;29,5;
2008 ; 104 594; 53 976; 50 618; 37 854;;9,9;1,40;27,7;29,6;
2009 ; 99 491; 50 873; 48 618; 37 928;;9,4;1,35;27,9;29,7;
2010 ; 101 381; 51 535; 49 846; 41 844;;9,6;1,39;28,1;29,8;
2011 ; 96 856; 49 688; 47 167; 41 489;;9,2;1,35;28,4;30,1;
2012 ; 89 841; 46 161; 43 680; 40 950;;8,5;1,29;28,6;30,2;
2013 ; 82 787; 42 219; 40 567; 39 434;;7,9;1,21;28,9;30,4;
2014 ; 82 367; 42 427; 39 940;40.647;;7,9;1,23;29,2;30,7;
2015 ; 85 500; 43 685; 41 815; 43 361;;8,2;1,31;29,5;30,9;
2016 ; 87 126; 44 789; 42 337;45.972;;8,4;1,36;29,6;31,1;
2017 ; 86 154; 44 072; 42 082;47.315;;8,3;1,38;29,6;31,2;
2018 ; 87 020; 44 309; 42 711; 48 625;;8,4;1,42;29,8;31,4;
2019 ; 86 579; 44 539; 42 040; 49 140;;8,4;1,43;29,9;31,4;
2020 ; 84 530; 43 451; 41 079; 48 972;;8,1;1,41;30,2;31,6;
2021 ; 79 582; 40 762; 38 820; 47 785;;7,6;1,35;30,4;31,8;
2022 ; 83 671; 42 925; 40 746; 50 329;;8,0;1,43;30,3;31,7;
2023 ; 85 699; 43 748; 41 951; 51 119;;8,1;1,44;30,2;31,6;
;;;;;;;;;;
Notas:;;;;;;;;;;
(a) Até 1980, os valores de nados-vivos correspondem aos registados em Portugal. Após 1980, os valores reportam-se aos nados-vivos de mães residentes em Portugal.;;;;;;;;;;
(b) O valor total de nados-vivos pode não corresponder à soma dos nados-vivos por sexo devido à existência de registos com sexo ignorado.;;;;;;;;;;
(c) Os valores de nados-vivos, total e por sexo, de 1970 foram corrigidos em data posterior à disponibilização na publicação Estatísticas Demográficas 1970. Neste sentido, o valor apresentado no quadro resulta da aplicação do peso relativo do valor publicado de ilegítimos (equivalente a nados-vivos “fora do casamento”) ao novo valor total revisto.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
